ID,FECHA DE CREACIÓN,NOMBRE CLIENTE,TELÉFONO,ESTATUS,TRANSPORTADORA
5001,10/01/2026,Cliente prueba,300 111 1111,ENTREGADO,SERVIENTREGA
5002,11/02/2026,Cliente prueba,300 111 1111,ENTREGADO,SERVIENTREGA
5003,12/03/2026,Cliente prueba,300 111 1111,ENTREGADO,SERVIENTREGA
5004,13/04/2026,Cliente prueba,300 111 1111,ENTREGADO,SERVIENTREGA
5005,14/05/2026,Cliente prueba,300 111 1111,ENTREGADO,SERVIENTREGA
5006,15/06/2026,Cliente prueba,300 111 1111,ENTREGADO,SERVIENTREGA
5007,16/07/2026,Cliente prueba,300 111 1111,ENTREGADO,SERVIENTREGA
5008,17/08/2026,Cliente prueba,300 111 1111,ENTREGADO,SERVIENTREGA
5009,18/01/2026,Cliente prueba,300 111 1111,ENTREGADO,SERVIENTREGA
5010,19/02/2026,Cliente prueba,300 111 1111,ENTREGADO,SERVIENTREGA
5011,20/03/2026,Cliente prueba,300 111 1111,ENTREGADO,SERVIENTREGA
5012,21/04/2026,Cliente prueba,300 111 1111,ENTREGADO,SERVIENTREGA
5013,22/05/2026,Cliente prueba,300 111 1111,DEVOLUCION,SERVIENTREGA
5014,10/01/2026,Cliente prueba,300 222 2222,ENTREGADO,SERVIENTREGA
5015,11/02/2026,Cliente prueba,300 222 2222,DEVOLUCION,SERVIENTREGA
5016,12/03/2026,Cliente prueba,300 222 2222,ENTREGADO,SERVIENTREGA
5017,13/04/2026,Cliente prueba,300 222 2222,DEVOLUCION,SERVIENTREGA
5018,14/05/2026,Cliente prueba,300 222 2222,ENTREGADO,SERVIENTREGA
5019,15/06/2026,Cliente prueba,300 222 2222,DEVOLUCION,SERVIENTREGA
5020,16/07/2026,Cliente prueba,300 222 2222,ENTREGADO,SERVIENTREGA
5021,10/01/2026,Cliente prueba,300 333 3333,ENTREGADO,SERVIENTREGA
5022,11/02/2026,Cliente prueba,300 333 3333,ENTREGADO,SERVIENTREGA
5023,12/03/2026,Cliente prueba,300 333 3333,DEVOLUCION,SERVIENTREGA
5024,13/04/2026,Cliente prueba,300 333 3333,DEVOLUCION,SERVIENTREGA
5025,14/05/2026,Cliente prueba,300 333 3333,DEVOLUCION,SERVIENTREGA
5026,15/06/2026,Cliente prueba,300 333 3333,DEVOLUCION,SERVIENTREGA
5027,16/07/2026,Cliente prueba,300 333 3333,DEVOLUCION,SERVIENTREGA
5028,17/08/2026,Cliente prueba,300 333 3333,DEVOLUCION,SERVIENTREGA
5029,10/01/2026,Cliente prueba,300 444 4444,DEVOLUCION,SERVIENTREGA
5030,11/02/2026,Cliente prueba,300 444 4444,RECHAZADO,SERVIENTREGA
5031,10/01/2026,Cliente prueba,300 555 5555,ENTREGADO,SERVIENTREGA
5032,11/02/2026,Cliente prueba,300 555 5555,DEVOLUCION,SERVIENTREGA
